Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Angola,AGO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2172.46326720494,2189.17352158246,2404.97792071531,2403.40415157038,2583.32411461288,2843.3966357968,3065.05576243895,3336.36332465208,3559.19522512236,3494.80724466172,3540.79159568381,3528.16824373399,3682.35229322763,3716.29718727282,3746.81619978613,3641.72893919944,3454.03317187119,3328.8982124109,3196.79006983557,3083.97534427357,2864.16146036893,2832.81777132286,2860.90251922246,2809.15727975557,2845.47779302975
Angola,AGO,"Population, total",SP.POP.TOTL,16194869,16747208,17327699,17943712,18600423,19291161,20015279,20778561,21578655,22414773,23294825,24218352,25177394,26165620,27160769,28157798,29183070,30234839,31297155,32375632,33451132,34532429,35635029,36749906,37885849
Antigua and Barbuda,ATG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,15961.0918359058,15003.4389169034,14968.0703013883,15703.9347145491,16433.4130541483,17301.2134317518,19259.6486517907,20770.2689732844,20464.786306605,17746.700856041,16135.397384487,15633.9091131821,15989.3900199779,15748.1952024226,15967.284996712,16077.6340769406,16635.895232831,16992.9327495236,18042.1596435727,18525.2588907167,14950.8942397208,16084.7214406048,17456.8722243104,17789.4058123944,18350.185036972
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,74912,76069,77032,77884,78719,79611,80604,81704,82912,84173,85320,86332,87260,88064,88765,89409,89969,90468,90926,91364,91846,92349,92840,93316,93772
Argentina,ARG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,10631.6503639029,10051.9448463043,8861.56199282278,9545.53194119994,10302.4465316428,11099.7509190602,11870.2791559298,12811.9021206578,13197.3570267029,12285.3784651865,13387.1553748458,14040.6189124444,13754.4254235596,13946.0950832252,13456.1319159151,13679.6264980954,13265.8860639123,13520.1129846159,13058.3285449954,12706.3978108968,11393.0505957877,12549.2811699342,13276.8232110189,12993.0928872416,12774.3506596628
Argentina,ARG,"Population, total",SP.POP.TOTL,37213984,37624825,38029349,38424282,38815916,39216789,39622115,40016763,40424148,40854831,41288694,41730660,42161721,42582455,43024071,43477012,43900313,44288894,44654882,44973465,45191965,45312281,45407904,45538401,45696159
Armenia,ARM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1229.21510436102,1351.12072694555,1535.20452885187,1759.64684829386,1955.22262459229,2240.09273209788,2551.43546358452,2919.3734936373,3141.33193500774,2716.97436280471,2796.08143428043,2943.83687119315,3159.75860786889,3266.29882999873,3393.09252326884,3512.39350276709,3533.88503607007,3815.3747426037,4027.83393010979,4343.45839583019,4032.09043454955,4264.79961505187,4791.00481712183,5197.23509013575,5378.31799981682
Armenia,ARM,"Population, total",SP.POP.TOTL,3221100,3211800,3199800,3182500,3164900,3146400,3127100,3107400,3087100,3066000,3044800,3027900,3024100,3022000,3013800,3004600,2992300,2979400,2969000,2962500,2961500,2962300,2969200,2964300,3033500
Aruba,ABW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,28104.8954362859,29007.7386958774,28535.4639480222,28525.8077063839,29959.7748189582,29081.7066997897,28885.9118700469,29556.8384686554,29870.6648077005,26204.0597361984,25429.2180974853,26093.0542083227,25444.7336646687,26680.1411206342,26773.8226808518,27458.2201537506,27587.2498040483,28548.8904317739,29419.208623316,29699.1805366222,22729.8897593533,26292.9179363154,29195.2670227422,31430.9353682253,33373.9174591266
Aruba,ABW,"Population, total",SP.POP.TOTL,90588,91439,92074,93128,95138,97635,99405,100150,100917,101604,101838,102591,104110,105675,106807,107906,108727,108735,108908,109203,108587,107700,107310,107359,107995
Australia,AUS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,45979.0765654048,46314.6235297968,47599.4079289312,48509.6632180363,50018.5904483861,50972.640519744,51682.8925230537,52671.325846724,53497.275355342,53430.5274781651,53768.349733441,54296.2321324814,55465.4462872577,55966.1509270561,56571.8062524437,56970.3613028094,57632.9995925594,57991.771347333,58772.7063152213,59181.2997904131,58377.7670517802,59465.535671364,61200.4588964781,61869.082498576,61480.670710531
Australia,AUS,"Population, total",SP.POP.TOTL,19028802,19274701,19495210,19720737,19932722,20176844,20450966,20827622,21249199,21691653,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26018721,26659922,27196812
Austria,AUT,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,38571.0858780001,38929.753800545,39313.7225107545,39569.2885567329,40333.3307183894,40989.0131778975,42120.1557002022,43568.8302243941,44063.8642019916,42372.4758254763,43035.4073531933,44146.1956805294,44221.4599530893,43851.3675497404,43838.8345892137,43915.228020857,44362.6702805116,45056.6385912412,45951.5819164034,46550.5622459492,43428.6983137234,45368.6434337368,47332.4240357971,46497.9114640341,45958.8250071261
Austria,AUT,"Population, total",SP.POP.TOTL,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9041851,9131761,9177982
Azerbaijan,AZE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1504.73106706035,1640.93664540398,1782.47319183639,1949.60608417331,2111.4533834475,2674.3688564996,3556.83212858133,4412.20326117932,4778.12452736673,5118.43395494687,5300.11048729062,5149.20665913206,5193.17501119552,5425.99559780578,5508.60265612676,5500.50364628486,5272.71817141861,5229.25259993413,5261.92938234432,5346.95318604114,5087.50022783627,5349.58226071425,5599.58524971025,5668.61021317029,5871.14373251952
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10137750,10141756,10153958,10202830
"Bahamas, The",BHS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,32424.7271786716,32870.0918307285,33374.602685914,32559.311554898,32444.0739567569,33144.7878790275,33541.850748701,33549.3360007274,32331.8246135092,30581.3342198488,30657.4319059659,30492.6738528071,31553.4919490645,30368.2631244189,30658.5344563722,30719.405417469,30152.1619246021,30974.7477261317,31537.2423841956,31117.6299132391,24791.6704945106,29114.0597726386,32186.4575039237,33009.645615121,33968.2032187918
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,323835,327836,331614,335618,339782,343894,348375,353334,358120,362810,367478,371729,375469,378953,382298,385346,388055,390485,392717,394675,395863,396373,397538,399440,401283
Bahrain,BHR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,25407.9694054552,25106.2869742612,24149.0156013799,23857.6403579769,23688.1121059225,23439.6704353038,23095.0181330228,23112.4888058398,23127.2148040048,22206.9371985225,22224.0736166249,23288.0449398313,23894.8804447088,24271.6278814506,24135.4991304849,23734.0551143019,23715.2791328712,23606.8867501313,24059.7838641562,24873.6640060134,23586.9309581516,24086.7847803428,25234.40256182,25342.6226641572,25812.4504577306
Bahrain,BHR,"Population, total",SP.POP.TOTL,637582,661316,710553,764517,823741,888822,960424,1039295,1103496,1178415,1228543,1195020,1208964,1253191,1314562,1370322,1423726,1501116,1503091,1483756,1472204,1504365,1524693,1577059,1588670
Bangladesh,BGD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,620.560472822105,641.288922876274,655.672139362272,676.826252046427,702.656357081873,739.203718353409,779.419570444998,825.508229964537,866.45815762135,901.729626251937,943.66422864236,995.579947155662,1050.39140404066,1103.15695907123,1159.40753475981,1224.38647668165,1299.83091360792,1373.75363740186,1462.25050255713,1564.20802445636,1604.6659234742,1702.08028414189,1804.3493461776,1885.37733613545,1941.27874360025
Bangladesh,BGD,"Population, total",SP.POP.TOTL,134544304,136805810,138933658,140970351,142902856,144715786,146405973,147989278,149474264,150873714,152201981,153591076,155070101,156532141,157964929,159383179,160811932,162186147,163523103,164913055,166298024,167658854,169384897,171466990,173562364
Barbados,BRB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,21523.3992235883,20985.2828573064,21012.5595449081,21338.1720739511,21516.1662922098,22250.0263806215,23487.4418767503,23862.135352962,23887.7289633459,22572.5926053677,21982.1839041348,21842.8635599786,21036.3003366556,20609.6076272963,20713.7670210437,20424.2087530019,20684.7801825176,20788.7046543161,20483.9550976366,20494.3871602646,17519.837062872,17475.0281776857,20472.9494048647,21068.2610447067,21581.2171257633
Barbados,BRB,"Population, total",SP.POP.TOTL,262063,262425,264148,265776,267298,268706,270002,271288,272714,274123,275243,276139,276938,277665,278348,278990,279598,280171,280711,281207,281698,282147,282318,282336,282467
Belarus,BLR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2615.36376799462,2753.0336970697,2910.39937484153,3137.26261430575,3520.40452642524,3877.71738911289,4291.68647163264,4682.20676719042,5177.64534775676,5200.77418555423,5616.0941173307,5941.68999156239,6052.6373706236,6115.43288098707,6212.91667418659,5967.05595058777,5811.20159182547,5964.89668834561,6165.91320019277,6267.73508743505,6251.98898968645,6457.73053706343,6206.61909685419,6497.78450683592,6792.13183495565
Belarus,BLR,"Population, total",SP.POP.TOTL,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9504583,9483836,9461643,9446836,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9302585,9228071,9178298,9132629
Belgium,BEL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,35878.3153586195,36148.2880924306,36600.862592332,36826.2699296094,37976.6972967442,38645.2605193362,39371.0858277448,40520.0843207009,40380.9075004042,39293.637546825,39991.5646206286,40236.9596308558,40074.492800399,40007.8997891411,40533.9135027898,40893.804537772,41172.8862831209,41619.328629169,42208.3625650272,43006.4042308863,40769.0218072962,43140.9676652971,44486.7438563594,44866.1935177304,45045.6601021398
Belgium,BEL,"Population, total",SP.POP.TOTL,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11538604,11586195,11680210,11779946,11858610
Belize,BLZ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5663.64632374973,5764.99055491104,5895.15235037898,6274.47428279313,6383.07432412662,6337.12389222378,6435.58767337678,6465.82885846045,6187.95885023655,5997.68447156383,5937.75398343789,5802.24344531492,5902.74234696881,6013.07879895362,6116.49578852783,6154.62264230369,6012.21296983668,5767.61921963762,5707.61059954436,5864.14611827109,5006.48453276935,5839.40157956017,6262.56088273674,6165.69414825936,6290.49294452749
Belize,BLZ,"Population, total",SP.POP.TOTL,240799,248379,256009,263780,271688,279731,287878,296100,304361,312614,320245,327298,334414,341627,348923,356333,364705,373202,380226,385829,390812,395346,402733,411106,417072
Benin,BEN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,861.213292013209,879.854463773645,893.137100961634,896.146763201736,907.624431209378,893.91536869992,900.62053578735,926.740113754071,943.203380303862,936.565651071554,928.246655329144,927.716412836707,943.918771531001,982.399206290516,1014.4330062135,1002.41886879614,1006.03926633023,1032.90471194182,1071.50452156932,1114.17304526443,1126.65404122154,1176.37727637273,1218.49668929091,1263.62158336368,1324.78312597434
Benin,BEN,"Population, total",SP.POP.TOTL,7221619,7445596,7675426,7913070,8159094,8426144,8693242,8953969,9228466,9509423,9797484,10093623,10397657,10708834,11030004,11360681,11697842,12039780,12383347,12726755,13070169,13413417,13759501,14111034,14462724
Bermuda,BMU,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,109502.763102809,116809.925253071,114574.433608566,118018.831592635,120432.12052555,122143.799577518,128662.931924261,132595.482654866,129525.177139097,121727.584908744,118382.908990645,113937.835700983,108040.575659203,107860.394791964,103941.982606956,104855.366822135,104190.876720334,107734.608357327,106843.163739391,106709.881238843,98999.5076617935,103134.729483915,109642.671877743,115124.71719745,122117.603586776
Bermuda,BMU,"Population, total",SP.POP.TOTL,61550,61867,62142,62386,62555,62711,62834,63010,63300,63565,63725,63733,63646,63574,63529,63464,63449,63578,63831,64107,64382,64648,64749,64698,64636
Bhutan,BTN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1259.6237645235,1321.09878230279,1427.25693317315,1506.4152751782,1552.73915195801,1632.02169500573,1701.11878173586,1952.25734603779,2017.76018913403,2148.56480375034,2378.72810760985,2552.48871073094,2654.74798946027,2671.07460201171,2797.81883971908,2954.04081911097,3173.36773217431,3211.80903275593,3300.55006461736,3467.38598979356,3092.12428399363,3206.20366997254,3349.73309632799,3480.51388574877,..
Bhutan,BTN,"Population, total",SP.POP.TOTL,596863,610794,624409,637663,650544,661865,670799,678641,686351,693988,701632,709377,717279,725273,733139,740618,747866,754335,759759,764824,770006,775442,780914,786385,791524
Bolivia,BOL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2014.19024658446,2013.84581083123,2029.66993638623,2050.07133411879,2099.990810637,2156.18670325307,2221.42722587103,2283.4273357151,2383.2503257823,2422.57579390007,2481.40700850945,2568.5205166368,2657.23884915853,2793.51457098676,2900.90241586338,2996.01289811344,3077.57057564766,3160.16421228968,3204.53670819124,3207.3869521223,2765.0927177231,3011.55110807557,3088.24126155241,3122.77049447823,3045.61476602385
Bolivia,BOL,"Population, total",SP.POP.TOTL,8606326,8752736,8900355,9050700,9204287,9360754,9521689,9685960,9850858,10016275,10182345,10348929,10515807,10682608,10848888,11014705,11180020,11344587,11508368,11671386,11816299,11937360,12077154,12244159,12413315
Bosnia and Herzegovina,BIH,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2567.34136989735,2617.18230350812,2743.13878615838,2855.68314939849,3063.83543448936,3217.81341615345,3419.75887457192,3665.08966529499,3929.03297717336,3877.53540078456,3981.20985692032,4094.25329541877,4139.91732773657,4306.73175072214,4412.67617817734,4662.25869219448,4876.53471495633,5099.81602856447,5360.25201017633,5583.29721276458,5490.75366635139,5995.54197590494,6327.16206849174,6493.32400514463,6730.26828824205
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,4159771,4179438,4188002,4178523,4140987,4096493,4063272,4013424,3947544,3879794,3811472,3741798,3670113,3610859,3564829,3518541,3473003,3428682,3387000,3345533,3299349,3244907,3204802,3185073,3164253
Botswana,BWA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5062.64289173588,4971.96371794188,5175.47655317231,5320.440295139,5369.42516766112,5514.21742664705,5865.00026521361,6085.6354476126,6158.61629368051,5179.4138607146,5584.5034321846,5850.07858575461,5742.91924452636,6284.97678002618,6547.12254115892,6141.20394726616,6490.83463593483,6662.57644805467,6843.84612027739,6951.73189051146,6254.24806241091,6895.91184943107,7159.5860618268,7269.05170664457,6937.33180990267
Botswana,BWA,"Population, total",SP.POP.TOTL,1677382,1712254,1744763,1775736,1807146,1839877,1874516,1911201,1949970,1990673,2033111,2073535,2108617,2140682,2172044,2203273,2234776,2266747,2299141,2332083,2365894,2401441,2439892,2480244,2521139
Brazil,BRA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6817.78345634413,6823.0331851176,6944.62257593723,6941.43965883253,7258.78101654079,7409.56827992249,7622.03919432148,8003.2532101272,8330.76364001877,8246.09612122851,8792.63334959864,9067.99212019529,9167.49818450433,9366.73824670239,9338.34170840985,8936.1955889444,8577.84277969667,8628.25209645723,8722.33529970988,8771.43950372603,8435.01046209185,8799.22844579944,9032.08377657776,9288.02594608687,9566.74408628371
Brazil,BRA,"Population, total",SP.POP.TOTL,174018282,176301203,178503484,180622688,182675143,184688101,186653106,188552320,190367302,192079951,193701929,195284734,196876111,198478299,200085127,201675532,203218114,204703445,206107261,207455459,208660842,209550294,210306415,211140729,211998573
British Virgin Islands,VGB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,20241,20796,21430,22134,22881,23665,24493,25366,26288,27218,27675,28710,30345,31703,32962,34498,33878,32699,34657,36395,37135,37809,38319,38985,39471
Brunei Darussalam,BRN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,37509.5983847742,37269.3099216587,37976.2627573601,38595.1688513702,37948.6590825194,37312.2778797122,38229.3565684183,36174.516515486,34126.6941563969,32855.6021602466,33121.3178241724,33754.3640783713,33544.5389457877,32381.0739795231,31148.7297405401,30625.1287744656,29492.4145927789,29524.65912789,29200.1952024222,29996.2407223175,30015.9588506697,29256.1833678343,28549.1756060465,28645.9645396284,29563.8682753082
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,326424,333345,340099,346637,352911,358916,364663,370873,377793,384952,392332,399389,405557,411202,416750,422212,427564,432772,437810,442680,447404,451721,455370,458949,462721
Bulgaria,BGR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3717.92889906166,3937.70160937785,4260.40477488601,4519.18439177056,4849.87141310477,5231.33811895255,5629.80127993005,6048.74231752797,6464.72198023576,6288.72543188686,6428.71742590538,6605.30851691027,6693.4277325127,6792.73549964735,6941.01853946718,7268.65445473873,7586.50411050819,7898.70693013652,8194.37434587757,8626.13418680372,8440.08304721192,9161.47737990726,9597.86796406548,9787.26510772747,10126.8980075708
Bulgaria,BGR,"Population, total",SP.POP.TOTL,8170172,8009142,7837161,7775327,7716860,7658972,7601022,7545338,7492561,7444443,7395599,7348328,7305888,7160005,7073572,6984225,6894139,6803468,6710798,6616726,6550696,6507301,6465097,6446596,6441421
Burkina Faso,BFA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,428.309796566198,442.914122870048,448.128856317091,468.263047790124,474.086412333459,499.192797571217,514.113131757062,519.26101218434,533.471299938288,533.470084831931,561.847221302489,581.603658737407,600.731343697818,616.741331164082,624.576885187665,630.124750752312,648.420480176012,669.276310328333,694.492813126351,717.021595096634,713.8421779224,745.472563435144,740.306319930259,745.405334618409,763.833733522408
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,11925546,12295001,12680897,13082532,13500533,13932123,14373707,14816307,15258093,15710066,16176498,16661908,17172287,17695409,18229461,18777487,19334856,19894407,20438288,20961952,21478690,21995243,22509038,23025776,23548781
Burundi,BDI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,264.154407180223,262.913885774384,266.968141648342,255.500823385612,258.050009115333,250.878933475935,255.105582251925,254.311725516331,256.012461554496,252.582019875886,253.308577749924,254.242110648215,256.180393931874,259.311117203355,261.296721752002,254.402585226788,258.061970808946,261.725839288764,267.508692172687,270.411005710809,263.463876356897,264.682651664249,263.587550051638,264.843307950214,268.700857391724
Burundi,BDI,"Population, total",SP.POP.TOTL,6470194,6634365,6824132,7043154,7310656,7587299,7865547,8161874,8505637,8947646,9376444,9717978,10071028,10439341,10799785,11047580,11239451,11506762,11859446,12255336,12617036,12965481,13321097,13689450,14047786
Cabo Verde,CPV,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2037.31720912714,2051.21733888102,2127.70872296502,2186.89500422765,2379.79636224135,2514.16779255327,2683.83943856892,3056.97102851154,3238.44159287498,3159.58698693977,3194.61667734233,3309.20121643898,3341.7421054836,3361.09387702205,3383.8422809791,3415.06266730931,3560.1400729534,3719.71306047915,3853.67940035241,4115.90283469406,3255.93628984058,3471.6553421786,3997.76763250653,4168.67748407593,4448.96609078891
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,453317,460293,467046,473383,479370,485115,490728,496190,501355,506141,509784,511447,511955,512225,512326,512394,512554,512893,513415,514104,514679,516649,519741,522331,524877
Cambodia,KHM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,598.561915252147,632.833573980849,662.188341283454,719.333494240509,775.847139030978,866.340290123209,947.065220050691,1030.23117620792,1090.57475806147,1117.25834194514,1155.85236856699,1221.38839852454,1295.25271477893,1376.29557595926,1464.53115866927,1547.32010444393,1645.46671578126,1753.93530504662,1884.28374817086,2008.32094006706,1908.63427518336,1938.76436741728,2011.27433313262,2085.05748462122,2182.71843902341
Cambodia,KHM,"Population, total",SP.POP.TOTL,12462336,12658484,12855241,13050968,13244731,13439202,13639028,13841770,14053479,14276810,14500726,14722584,14945085,15170208,15396772,15623251,15852803,16073372,16274522,16481304,16725474,16974305,17201724,17423880,17638801
Cameroon,CMR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1151.27689302947,1169.92670464984,1189.96707897027,1221.09446141454,1271.74326874167,1264.74345218659,1277.32990712342,1295.73067471287,1295.02211276052,1290.89961351149,1290.9013745759,1297.3064962694,1319.66961634054,1347.2130636706,1381.81938454907,1415.00009710569,1435.61830727839,1444.90682916573,1461.01969999317,1470.31785276187,1434.51913723409,1443.57600237663,1458.66180431693,1468.17837007337,1480.73097431993
Cameroon,CMR,"Population, total",SP.POP.TOTL,14912631,15309490,15725528,16160340,16610487,17074594,17550407,18049896,18574056,19113974,19668066,20232304,20809529,21402376,22059893,22763414,23454161,24128601,24806383,25506095,26210558,26915758,27632771,28372687,29123744
Canada,CAN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,37906.8601321366,38200.456120621,38921.6673033743,39270.0234577749,40108.7587456658,41006.2229523971,41663.5123057295,42106.8724378248,42067.5687072607,40376.4153847836,41164.3399119626,42043.6419795513,42320.6431330726,42851.170527104,43643.2356440047,43594.1941045394,43551.3425975115,44339.3886689254,44907.3436912123,45100.2915069262,42366.1285377884,44639.193269037,45677.686578804,45048.2842408265,44413.3983847404
Canada,CAN,"Population, total",SP.POP.TOTL,30685730,31020855,31359199,31642461,31938807,32242732,32571193,32888886,33247298,33630069,34005902,34339221,34713395,35080992,35434066,35704498,36110803,36545075,37072620,37618495,38028638,38239864,38935934,40083484,41288599
Cayman Islands,CYM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,96066.629965728,96202.7389296237,93115.3176374189,84001.4219797545,79483.0963975025,78233.0182694571,77074.3886285602,76038.8787807923,76104.621790038,76379.2098777987,77031.864216869,77717.1760762284,79305.7692066005,80714.5721513481,75199.6446248648,77259.6331345061,80029.0319676823,83005.4838305223,..
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,39674,41089,42514,43934,45352,46788,48232,49687,51151,52618,54099,55606,57136,58655,60160,61642,63100,64535,65941,67327,68684,70108,71591,73038,74457
Central African Republic,CAF,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,437.168928414826,446.658634192083,452.808702217035,418.240532289858,433.825227770233,427.968043155237,439.294330902768,450.762785401893,450.313616886022,492.215398914836,519.141456408484,532.38295493852,553.729578314912,349.821171688973,351.561554911625,366.322853938121,376.858254120398,387.35795131742,395.020015455909,401.82582161435,398.834274122139,396.020622931961,398.91539795642,397.467795750451,389.938307964229
Central African Republic,CAF,"Population, total",SP.POP.TOTL,3833416,3919487,4006077,4103086,4192826,4288810,4377579,4462770,4558984,4529047,4492995,4565021,4610848,4642419,4623182,4629320,4713663,4793511,4878657,4944703,5026628,5112100,5098039,5152421,5330690
Chad,TCD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,530.600331270541,572.806706828797,600.171451974641,661.556916681677,845.518131173419,952.871910097036,914.210664598894,920.352815674967,916.087274632505,871.485311273077,956.953018715651,965.286963557057,1016.42152061894,1008.61711429294,993.321157708395,993.990730610869,923.56587204799,879.075895466718,898.834794007399,917.203710065059,884.980541933197,857.527630579087,862.60212817252,856.832488745342,849.707321000625
